Dilation;#Vertices;#Edges in result;% of edges in result;Construction time
1,100000;25;71;0,236667;0,081943
1,100000;25;77;0,256667;0,085502
1,100000;25;70;0,233333;0,079293
1,100000;25;69;0,230000;0,089394
1,100000;50;179;0,146122;0,748920
1,100000;50;165;0,134694;0,719286
1,100000;50;169;0,137959;0,762659
1,100000;50;167;0,136327;0,747090
1,100000;75;258;0,092973;2,578198
1,100000;75;272;0,098018;2,549816
1,100000;75;279;0,100541;2,584480
1,100000;75;272;0,098018;2,586535
1,100000;100;372;0,075152;6,470158
1,100000;100;384;0,077576;6,521468
1,100000;100;388;0,078384;6,388836
1,100000;100;383;0,077374;6,402623
1,100000;125;487;0,062839;12,790968
1,100000;125;483;0,062323;13,110370
1,100000;125;474;0,061161;13,111995
1,100000;125;478;0,061677;12,725277
1,100000;150;571;0,051096;21,674593
1,100000;150;578;0,051723;21,947999
1,100000;150;597;0,053423;22,750596
1,100000;150;567;0,050738;21,901778
1,100000;175;681;0,044729;35,359661
1,100000;175;664;0,043612;35,600003
1,100000;175;685;0,044992;36,376217
1,100000;175;672;0,044138;35,595202
1,100000;200;785;0,039447;54,137969
1,100000;200;808;0,040603;54,833303
1,100000;200;819;0,041156;55,673455
1,100000;200;787;0,039548;54,716366
1,100000;225;885;0,035119;76,534489
1,100000;225;912;0,036190;78,048620
1,100000;225;895;0,035516;78,033141
1,100000;225;900;0,035714;76,195751
1,100000;250;1016;0,032643;108,655079
1,100000;250;1018;0,032707;108,243623
1,100000;250;988;0,031743;105,439791
1,100000;250;991;0,031839;105,716908
1,100000;275;1133;0,030073;146,893474
1,100000;275;1112;0,029516;143,797348
1,100000;275;1126;0,029887;144,813013
1,100000;275;1108;0,029409;143,615745
1,100000;300;1186;0,026444;185,909304
1,100000;300;1221;0,027224;189,407196
1,100000;300;1222;0,027246;185,860878
1,100000;300;1245;0,027759;189,088773
1,100000;325;1298;0,024653;235,482744
1,100000;325;1358;0,025793;245,411468
1,100000;325;1329;0,025242;240,903081
1,100000;325;1315;0,024976;241,287056
1,250000;25;50;0,166667;0,074392
1,250000;25;52;0,173333;0,074959
1,250000;25;51;0,170000;0,073210
1,250000;25;54;0,180000;0,078072
1,250000;50;118;0,096327;0,629170
1,250000;50;114;0,093061;0,613622
1,250000;50;113;0,092245;0,650810
1,250000;50;108;0,088163;0,624024
1,250000;75;174;0,062703;2,141237
1,250000;75;176;0,063423;2,166810
1,250000;75;161;0,058018;2,087662
1,250000;75;173;0,062342;2,159183
1,250000;100;244;0,049293;5,246844
1,250000;100;236;0,047677;5,201285
1,250000;100;249;0,050303;5,277400
1,250000;100;246;0,049697;5,335231
1,250000;125;312;0,040258;10,326810
1,250000;125;296;0,038194;9,799844
1,250000;125;298;0,038452;10,030138
1,250000;125;299;0,038581;10,062568
1,250000;150;353;0,031588;17,235998
1,250000;150;371;0,033199;17,932220
1,250000;150;358;0,032036;17,384043
1,250000;150;370;0,033110;17,903907
1,250000;175;433;0,028440;27,695828
1,250000;175;428;0,028112;27,602321
1,250000;175;438;0,028768;28,055553
1,250000;175;432;0,028374;28,199594
1,250000;200;504;0,025327;42,564627
1,250000;200;479;0,024070;40,839444
1,250000;200;491;0,024673;42,139956
1,250000;200;517;0,025980;43,545244
1,250000;225;588;0,023333;61,694281
1,250000;225;559;0,022183;60,211948
1,250000;225;563;0,022341;59,925629
1,250000;225;549;0,021786;60,152002
1,250000;250;616;0,019791;82,169024
1,250000;250;626;0,020112;82,118779
1,250000;250;620;0,019920;82,524992
1,250000;250;620;0,019920;81,769484
1,250000;275;685;0,018182;110,234460
1,250000;275;692;0,018368;111,429621
1,250000;275;701;0,018607;112,339122
1,250000;275;690;0,018315;109,995776
1,250000;300;747;0,016656;141,890867
1,250000;300;757;0,016878;142,826063
1,250000;300;746;0,016633;141,414048
1,250000;300;745;0,016611;140,924401
1,500000;25;41;0,136667;0,074751
1,500000;25;40;0,133333;0,073527
1,500000;25;33;0,110000;0,071581
1,500000;50;77;0,062857;0,542053
1,500000;50;78;0,063673;0,593878
1,500000;50;80;0,065306;0,555902
1,500000;75;124;0,044685;1,948320
1,500000;75;129;0,046486;1,919296
1,500000;75;127;0,045766;1,858226
1,500000;100;168;0,033939;4,362098
1,500000;100;173;0,034949;4,394254
1,500000;100;166;0,033535;4,330180
1,500000;125;220;0,028387;8,694797
1,500000;125;217;0,028000;8,951714
1,500000;125;215;0,027742;9,095667
1,500000;150;266;0,023803;15,025532
1,500000;150;265;0,023714;15,244717
1,500000;150;267;0,023893;15,426742
1,500000;175;309;0,020296;24,094892
1,500000;175;301;0,019770;24,113085
1,500000;175;292;0,019179;23,006553
1,500000;200;348;0,017487;35,186726
1,500000;200;355;0,017839;35,474085
1,500000;200;352;0,017688;35,445376
1,500000;225;402;0,015952;50,185137
1,500000;225;406;0,016111;50,987129
1,500000;225;396;0,015714;51,125807
1,500000;250;454;0,014586;69,109636
1,500000;250;442;0,014201;68,541186
1,500000;250;427;0,013719;68,294497
1,500000;275;462;0,012263;89,277194
1,500000;275;489;0,012979;91,569153
1,500000;275;489;0,012979;91,765552
1,500000;300;539;0,012018;121,221062
1,500000;300;530;0,011817;118,487290
1,500000;300;530;0,011817;117,547695
1,500000;325;575;0,010921;151,781280
1,500000;325;588;0,011168;153,806624
1,500000;325;570;0,010826;154,096953
1,500000;350;626;0,010250;189,444194
1,500000;350;631;0,010332;191,003554
1,500000;350;628;0,010282;190,231592
1,750000;25;28;0,093333;0,064851
1,750000;25;32;0,106667;0,067369
1,750000;25;31;0,103333;0,066212
1,750000;50;65;0,053061;0,497160
1,750000;50;68;0,055510;0,499662
1,750000;50;69;0,056327;0,533538
1,750000;75;108;0,038919;1,886065
1,750000;75;106;0,038198;1,685693
1,750000;75;105;0,037838;1,714382
1,750000;100;140;0,028283;4,084936
1,750000;100;143;0,028889;4,229028
1,750000;100;135;0,027273;3,942325
1,750000;125;184;0,023742;8,009206
1,750000;125;187;0,024129;8,038802
1,750000;125;180;0,023226;7,842748
1,750000;150;211;0,018881;13,778054
1,750000;150;226;0,020224;13,795011
1,750000;150;216;0,019329;13,827608
1,750000;175;255;0,016749;21,818833
1,750000;175;269;0,017668;21,996626
1,750000;175;258;0,016946;22,206589
1,750000;200;297;0,014925;32,951389
1,750000;200;299;0,015025;32,690001
1,750000;200;294;0,014774;32,612594
1,750000;225;330;0,013095;46,388043
1,750000;225;336;0,013333;47,232521
1,750000;225;341;0,013532;46,463462
1,750000;250;372;0,011952;63,403633
1,750000;250;369;0,011855;65,150601
1,750000;250;379;0,012177;64,119937
1,750000;275;411;0,010909;85,502017
1,750000;275;401;0,010644;84,875148
1,750000;275;413;0,010962;84,393808
1,750000;300;439;0,009788;108,444477
1,750000;300;463;0,010323;111,763240
1,750000;300;444;0,009900;110,620734
1,750000;325;489;0,009288;139,877679
1,750000;325;492;0,009345;142,241944
1,750000;325;490;0,009307;138,889773
1,750000;350;538;0,008809;176,618901
1,750000;350;533;0,008727;176,222004
1,750000;350;522;0,008547;174,617742
2,000000;25;31;0,103333;0,070018
2,000000;25;31;0,103333;0,063800
2,000000;25;30;0,100000;0,067489
2,000000;50;60;0,048980;0,484210
2,000000;50;64;0,052245;0,514464
2,000000;50;63;0,051429;0,500747
2,000000;75;96;0,034595;1,665114
2,000000;75;92;0,033153;1,700536
2,000000;75;98;0,035315;1,708713
2,000000;100;130;0,026263;3,994680
2,000000;100;133;0,026869;3,958149
2,000000;100;136;0,027475;3,921036
2,000000;125;165;0,021290;7,617184
2,000000;125;168;0,021677;7,867398
2,000000;125;164;0,021161;7,646366
2,000000;150;205;0,018345;13,476852
2,000000;150;202;0,018076;13,149639
2,000000;150;200;0,017897;13,055169
2,000000;175;238;0,015632;20,931170
2,000000;175;231;0,015172;20,851703
2,000000;175;233;0,015304;20,133360
2,000000;200;274;0,013769;31,621493
2,000000;200;270;0,013568;31,300636
2,000000;200;268;0,013467;31,545056
2,000000;225;302;0,011984;44,599515
2,000000;225;304;0,012063;43,959580
2,000000;225;304;0,012063;44,882888
2,000000;250;337;0,010827;61,547932
2,000000;250;336;0,010795;61,194989
2,000000;250;341;0,010956;62,102667
2,000000;275;375;0,009954;82,136068
2,000000;275;376;0,009980;80,516476
2,000000;275;388;0,010299;82,993636
2,000000;300;412;0,009186;105,011496
2,000000;300;419;0,009342;107,503539
2,000000;300;413;0,009208;103,941273
2,000000;325;446;0,008471;131,817818
2,000000;325;446;0,008471;134,702836
2,000000;325;442;0,008395;133,326342
2,000000;350;480;0,007859;168,414354
2,000000;350;469;0,007679;163,605583
2,000000;350;471;0,007712;165,727397
2,500000;25;26;0,086667;0,063482
2,500000;25;28;0,093333;0,066620
2,500000;25;28;0,093333;0,060692
2,500000;50;60;0,048980;0,473502
2,500000;50;59;0,048163;0,487134
2,500000;50;56;0,045714;0,479689
2,500000;75;93;0,033514;1,607787
2,500000;75;93;0,033514;1,674340
2,500000;75;93;0,033514;1,607347
2,500000;100;118;0,023838;3,679569
2,500000;100;121;0,024444;3,866113
2,500000;100;117;0,023636;3,720182
2,500000;125;155;0,020000;7,248784
2,500000;125;152;0,019613;7,306579
2,500000;125;152;0,019613;7,359326
2,500000;150;180;0,016107;12,627650
2,500000;150;183;0,016376;12,756029
2,500000;150;182;0,016286;12,450719
2,500000;175;215;0,014122;20,002606
2,500000;175;212;0,013924;20,021466
2,500000;175;214;0,014056;20,200434
2,500000;200;248;0,012462;30,282163
2,500000;200;246;0,012362;29,760227
2,500000;200;244;0,012261;30,159308
2,500000;225;283;0,011230;42,507933
2,500000;225;281;0,011151;43,124263
2,500000;225;282;0,011190;43,202594
2,500000;250;310;0,009960;57,688653
2,500000;250;310;0,009960;57,741965
2,500000;250;309;0,009928;56,799660
2,500000;275;341;0,009051;76,760754
2,500000;275;342;0,009078;77,316944
2,500000;275;343;0,009104;77,120534
2,500000;300;374;0,008339;101,288104
2,500000;300;369;0,008227;100,740405
2,500000;300;370;0,008250;99,908332
2,500000;325;403;0,007654;125,811545
2,500000;325;408;0,007749;128,749097
2,500000;325;407;0,007730;129,373034
2,500000;350;430;0,007041;158,221005
2,500000;350;431;0,007057;158,450143
2,500000;350;445;0,007286;158,939178
3,000000;25;26;0,086667;0,061756
3,000000;25;28;0,093333;0,067977
3,000000;25;25;0,083333;0,058087
3,000000;50;57;0,046531;0,481830
3,000000;50;55;0,044898;0,472195
3,000000;50;57;0,046531;0,491455
3,000000;75;82;0,029550;1,543512
3,000000;75;87;0,031351;1,570931
3,000000;75;85;0,030631;1,588636
3,000000;100;115;0,023232;3,729655
3,000000;100;115;0,023232;3,681398
3,000000;100;115;0,023232;3,697464
3,000000;125;142;0,018323;6,998533
3,000000;125;143;0,018452;7,088947
3,000000;125;143;0,018452;7,105176
3,000000;150;173;0,015481;12,120399
3,000000;150;176;0,015749;12,584561
3,000000;150;173;0,015481;12,279874
3,000000;175;205;0,013465;19,520385
3,000000;175;203;0,013333;19,415602
3,000000;175;206;0,013530;20,449893
3,000000;200;232;0,011658;29,050550
3,000000;200;231;0,011608;28,871328
3,000000;200;232;0,011658;29,498969
3,000000;225;270;0,010714;41,890949
3,000000;225;263;0,010437;41,544790
3,000000;225;272;0,010794;42,170556
3,000000;250;285;0,009157;56,830252
3,000000;250;293;0,009414;56,057724
3,000000;250;292;0,009382;57,251144
3,000000;275;321;0,008520;75,758551
3,000000;275;325;0,008626;76,159407
3,000000;275;326;0,008653;75,997309
3,000000;300;346;0,007715;96,475323
3,000000;300;349;0,007781;97,601359
3,000000;300;354;0,007893;96,800083
3,000000;325;381;0,007236;122,018579
3,000000;325;391;0,007426;125,161289
3,000000;325;383;0,007274;123,102262
3,000000;350;415;0,006795;156,324577
3,000000;350;413;0,006762;155,408487
3,000000;350;412;0,006746;156,206026
4,000000;25;26;0,086667;0,060809
4,000000;25;26;0,086667;0,066524
4,000000;25;25;0,083333;0,061206
4,000000;50;53;0,043265;0,452091
4,000000;50;55;0,044898;0,468123
4,000000;50;53;0,043265;0,480877
4,000000;75;81;0,029189;1,552838
4,000000;75;83;0,029910;1,520737
4,000000;75;78;0,028108;1,497661
4,000000;100;109;0,022020;3,604884
4,000000;100;108;0,021818;3,594865
4,000000;100;111;0,022424;3,623375
4,000000;125;136;0,017548;7,096277
4,000000;125;139;0,017935;7,341943
4,000000;125;135;0,017419;6,984512
4,000000;150;165;0,014765;12,016269
4,000000;150;164;0,014676;12,116550
4,000000;150;162;0,014497;12,119754
4,000000;175;195;0,012808;19,350318
4,000000;175;192;0,012611;19,202616
4,000000;175;191;0,012545;19,034116
4,000000;200;220;0,011055;29,359340
4,000000;200;219;0,011005;28,574795
4,000000;200;228;0,011457;28,832963
4,000000;225;253;0,010040;40,673155
4,000000;225;253;0,010040;40,029551
4,000000;225;249;0,009881;40,264165
4,000000;250;279;0,008964;55,214959
4,000000;250;279;0,008964;55,142282
4,000000;250;278;0,008932;54,902295
4,000000;275;308;0,008175;73,054525
4,000000;275;306;0,008122;73,484981
4,000000;275;307;0,008149;73,342094
4,000000;300;339;0,007559;96,717484
4,000000;300;338;0,007536;95,920207
4,000000;300;333;0,007425;95,510267
4,000000;325;364;0,006914;121,755358
4,000000;325;363;0,006895;120,977874
4,000000;325;368;0,006990;120,332833
4,000000;350;394;0,006451;153,913357
4,000000;350;395;0,006467;153,969535
4,000000;350;393;0,006435;151,935955
5,000000;25;25;0,083333;0,060208
5,000000;25;24;0,080000;0,060220
5,000000;25;25;0,083333;0,057853
5,000000;50;52;0,042449;0,467073
5,000000;50;51;0,041633;0,455747
5,000000;50;50;0,040816;0,439682
5,000000;75;79;0,028468;1,582010
5,000000;75;77;0,027748;1,494426
5,000000;75;78;0,028108;1,473182
5,000000;100;106;0,021414;3,515506
5,000000;100;105;0,021212;3,535728
5,000000;100;106;0,021414;3,510641
5,000000;125;134;0,017290;6,851872
5,000000;125;129;0,016645;6,917507
5,000000;125;136;0,017548;7,019676
5,000000;150;158;0,014139;12,203138
5,000000;150;163;0,014586;12,041278
5,000000;150;159;0,014228;11,909080
5,000000;175;187;0,012282;18,374829
5,000000;175;188;0,012348;18,910041
5,000000;175;190;0,012479;19,130870
5,000000;200;213;0,010704;28,053748
5,000000;200;212;0,010653;27,649876
5,000000;200;219;0,011005;28,680221
5,000000;225;246;0,009762;39,911758
5,000000;225;246;0,009762;39,700172
5,000000;225;245;0,009722;39,788326
5,000000;250;271;0,008707;55,911753
5,000000;250;269;0,008643;55,371734
5,000000;250;268;0,008610;54,799734
5,000000;275;297;0,007883;72,511084
5,000000;275;296;0,007857;72,020767
5,000000;275;302;0,008016;73,086274
5,000000;300;324;0,007224;95,947088
5,000000;300;326;0,007269;95,217971
5,000000;300;325;0,007246;95,617963
5,000000;325;353;0,006705;121,456794
5,000000;325;351;0,006667;121,141697
5,000000;325;350;0,006648;121,261881
5,000000;350;377;0,006173;148,461278
5,000000;350;381;0,006238;149,988061
5,000000;350;379;0,006205;149,272270